name,lat,lon,itemType,diameter,origin,ethnicity,type,Additional Info
"Montes Apenninus",19.300359,-0.593352,"Nomenclature",599.675,"Named from terrestrial Apennines.","Italy","Mons, montes",""
"Beresheet",32.5956,19.3496,"Nomenclature",0,"","","Impact",""
"Mare Imbrium",34.724431,-14.908599,"Nomenclature",1145.53,"Sea of Showers.","Latin","Mare, maria",""
"Surveyor 5",1.4551,23.1943,"Nomenclature",0,"","","Impact",""
"Yutu 2",-45.46,177.59,"Nomenclature",0,"","","Soft Landing",""
"Mare Ingenii",-33.245795,164.826818,"Nomenclature",282.204,"Sea of Cleverness.","Latin","Mare, maria",""
"Poincare",-57.401243,163.215929,"Nomenclature",312.049,"Jules Henri; French mathematician, physicist (1854-1912).","France","Crater, craters",""
"Gagarin",-20.020245,149.169367,"Nomenclature",267.319,"Yury Alekseyevich; Soviet cosmonaut (1934-1968).","Soviet","Crater, craters",""
"Planck",-57.08179,135.884706,"Nomenclature",319.459,"Max Karl Ernst; German physicist; Nobel laureate (1858-1947).","Germany","Crater, craters",""
"Lunar Orbiter 1",6.35,160.71,"Nomenclature",0,"","","Impact",""
"Longjiang 2",16.6956,159.517,"Nomenclature",0,"","","Impact",""
"Mare Moscoviense",27.281589,148.122479,"Nomenclature",275.57,"Sea of Muscovy.","Latin","Mare, maria",""
"Mendeleev",5.375364,141.16756,"Nomenclature",325.127,"Dmitri Ivanovich; Russian chemist (1834-1907).","Russia","Crater, craters",""
"Schrodinger",-74.530848,133.452559,"Nomenclature",316.388,"Schrodinger, Erwin; Austrian physicist; Nobel laureate (1887-1961).","Austria","Crater, craters",""
"Vallis Planck",-57.27194,126.14882,"Nomenclature",502.899,"Named from nearby crater.","Germany","Vallis, valles",""
"Milne",-31.132527,112.666876,"Nomenclature",259.969,"Edward Arthur; British mathematician, astrophysicist (1896-1950).","Great Britain","Crater, craters",""
"Lunar Orbiter 2",3,119.1,"Nomenclature",0,"","","Impact",""
"Apollo 16 subsatellite",10.16,111.9,"Nomenclature",0,"","","Impact",""
"Harkhebi",38.363609,98.411731,"Nomenclature",272.583,"Egyptian astronomer (c. 300 B.C.).","Egypt","Crater, craters",""
"Mare Marginis",12.701879,86.515294,"Nomenclature",357.632,"Sea of the Edge.","Latin","Mare, maria",""
"Mare Smythii",-1.708755,87.04947,"Nomenclature",373.965,"Smyth, William Henry; British astronomer (1788-1865).","Great Britain","Mare, maria",""
"Mare Australe",-40.409566,94.470878,"Nomenclature",611.974,"Southern Sea.","Latin","Mare, maria",""
"Vallis Schrodinger",-66.518491,104.880752,"Nomenclature",301.715,"Named from nearby crater.","Austria","Vallis, valles",""
"Kaguya",-65.5,80.4,"Nomenclature",0,"","","Impact",""
"Mare Crisium",16.177371,59.103747,"Nomenclature",555.921,"Sea of Crises.","Latin","Mare, maria",""
"Luna 24",12.7142,62.2129,"Nomenclature",0,"","","Soft Landing",""
"Luna 20",3.7863,56.6242,"Nomenclature",0,"","","Soft Landing",""
"Chang'e 1",-1.5,52.36,"Nomenclature",0,"","","Impact",""
"Mare Fecunditatis",-7.834974,53.669148,"Nomenclature",840.354,"Sea of Fecundity.","Latin","Mare, maria",""
"Vallis Snellius",-30.480061,57.927426,"Nomenclature",640,"Named from nearby crater.","Netherlands (Dutch)","Vallis, valles",""
"Hiten",-34,55.3,"Nomenclature",0,"","","Impact",""
